Dept,Total_Sales,Average_Weekly_Sales,Sales_Std,Number_of_Records,Store_Coverage,Average_MarkDown,Holiday_Sales,Demand_Volatility,Average_Weekly_Demand,Cumulative_Sales,Cumulative_Percentage,ABC_Category,Cluster,Stock_Status,Lead_Time_Weeks,Safety_Stock,Reorder_Point,Reorder_Recommendation
44,25449612.96,4651.72965819777,2584.659873424304,5471,45,7253.72329007494,378,0.5556341540332945,4651.72965819777,6532148176.260001,96.95615043473647,C,1,Overstock Risk,4,1292.329936712152,19899.24856950323,Reduce reorder quantity
56,22511522.87,3833.706210831063,5978.3506847518975,5872,45,6795.980463215259,406,1.5594180555259405,3833.706210831063,6554659699.130001,97.29028715959387,C,1,Overstock Risk,4,2989.1753423759487,18324.0001857002,Reduce reorder quantity
30,21789381.43,4118.197208467209,2465.293233753509,5291,37,7473.045743715744,370,0.5986340888883973,4118.197208467209,6576449080.560001,97.61370519709106,C,1,Overstock Risk,4,1232.6466168767545,17705.43545074559,Reduce reorder quantity
83,19988830.84,3383.349837508463,2863.9558892199807,5908,43,6615.663491875423,412,0.8464852961611058,3383.349837508463,6596437911.400002,97.91039780687923,C,1,Overstock Risk,4,1431.9779446099903,14965.377294643844,Reduce reorder quantity
58,16255763.57,3702.9074191343966,4308.689781362911,4390,34,7987.599872437357,315,1.1635964105119658,3702.9074191343966,6612693674.970001,98.15168079918067,C,1,Overstock Risk,4,2154.3448906814556,16965.97456721904,Reduce reorder quantity
35,15472775.08,2921.04494619596,1760.6972613492592,5297,39,7469.865250141589,370,0.6027628104943037,2921.04494619596,6628166450.050001,98.38134195624865,C,1,Overstock Risk,4,880.3486306746296,12564.52841545847,Reduce reorder quantity
31,14193384.22,2339.4402867974286,2017.4218494039608,6067,45,6612.608821493324,426,0.8623523587198312,2339.4402867974286,6642359834.270001,98.59201321759782,C,1,Normal Stock,4,1008.7109247019804,10366.472071891694,"Low priority, avoid excess stock"
85,13710696.21,2264.359407101569,1733.0566318083688,6055,44,6616.2576581337735,425,0.7653628776302435,2264.359407101569,6656070530.480001,98.79551997960499,C,1,Overstock Risk,4,866.5283159041844,9923.965944310461,Reduce reorder quantity
52,12086936.99,1928.356252393108,1465.1938949358466,6268,45,6415.757461710275,437,0.7598149424503524,1928.356252393108,6668157467.470001,98.97492541400047,C,1,Normal Stock,4,732.5969474679233,8446.021957040355,"Low priority, avoid excess stock"
36,10709513.77,2022.5710613786591,1877.27748336041,5295,39,7464.139012275732,370,0.9281639192843926,2022.5710613786591,6678866981.240002,99.1338858662359,C,1,Overstock Risk,4,938.638741680205,9028.922987194841,Reduce reorder quantity
41,10600265.07,1965.5599981457444,2714.778090630448,5393,42,7331.545214166513,375,1.3811728429513703,1965.5599981457444,6689467246.310001,99.2912247487968,C,1,Overstock Risk,4,1357.389045315224,9219.629037898201,Reduce reorder quantity
27,8897336.59,1583.4377273536215,1167.1350914867078,5619,44,7093.735502758498,387,0.7370893539573072,1583.4377273536215,6698364582.900002,99.42328720078214,C,1,Overstock Risk,4,583.5675457433539,6917.31845515784,Reduce reorder quantity
37,8017243.35,3111.0761932479627,887.6509320378433,2577,20,8518.912906480404,180,0.28531957332460445,3111.0761932479627,6706381826.250002,99.54228649953343,C,0,Overstock Risk,4,443.82546601892165,12888.130239010772,Reduce reorder quantity
19,6816183.11,1654.8150303471716,1446.2354966513076,4119,38,7618.516647244477,290,0.8739559830731625,1654.8150303471716,6713198009.360002,99.64345855766366,C,1,Overstock Risk,4,723.1177483256538,7342.377869714341,Reduce reorder quantity
65,6498163.99,45441.70622377622,7086.889697222595,143,1,4912.263356643357,10,0.15595562504461066,45441.70622377622,6719696173.350001,99.73991028355283,C,0,Normal Stock,4,3543.4448486112974,185310.2697437162,"Low priority, avoid excess stock"
59,4240394.52,694.4635637078283,1991.3647727025932,6106,45,6402.025774647887,435,2.867486325805844,694.4635637078283,6723936567.870002,99.80285011864078,C,1,Normal Stock,4,995.6823863512966,3773.53664118261,"Low priority, avoid excess stock"
50,4153197.13,2658.8970102432777,1758.141013067221,1562,14,8994.930083226633,107,0.6612294520224229,2658.8970102432777,6728089765.000002,99.8644956898764,C,0,Overstock Risk,4,879.0705065336105,11514.65854750672,Reduce reorder quantity
28,3785153.25,618.0851159372959,464.2017697747375,6124,43,6546.980104506858,429,0.7510321116061793,618.0851159372959,6731874918.250002,99.92067841537846,C,1,Normal Stock,4,232.10088488736875,2704.4413486365524,"Low priority, avoid excess stock"
48,2342804.61,1344.893576349024,1243.5250378573737,1742,25,8597.522743972446,126,0.9246270929727876,1344.893576349024,6734217722.860002,99.955452475929,C,0,Overstock Risk,4,621.7625189286869,6001.336824324782,Reduce reorder quantity
60,2005020.96,347.37022869022866,283.9009683104425,5772,45,6983.983788981289,400,0.8172864133489529,347.37022869022866,6736222743.820002,99.98521284090802,C,1,Overstock Risk,4,141.95048415522126,1531.431398916136,Reduce reorder quantity
54,516294.63,108.3059848961611,145.5159052678839,4767,37,7170.332322215229,344,1.343562919513617,108.3059848961611,6736739038.450002,99.99287616060994,C,1,Overstock Risk,4,72.75795263394195,505.9818922185864,Reduce reorder quantity
99,358149.85,415.4870649651972,1099.7252774884848,862,37,20065.163352668213,95,2.64683396962214,415.4870649651972,6737097188.300002,99.99819215005135,C,0,Overstock Risk,4,549.8626387442424,2211.810898605031,Reduce reorder quantity
77,49344.27,328.9618,343.47102321840487,150,37,35289.506199999996,48,1.0441061035609753,328.9618,6737146532.570003,99.9989245630855,C,0,Overstock Risk,4,171.73551160920243,1487.5827116092023,Reduce reorder quantity
45,44937.63,23.211585743801653,24.96037638265306,1936,37,5430.651167355372,145,1.0753412825023554,23.211585743801653,6737191470.200003,99.99959156871626,C,1,Normal Stock,4,12.48018819132653,105.32653116653314,"Low priority, avoid excess stock"
51,30572.83,21.931728837876616,29.14654531673649,1394,37,1180.5869799139168,85,1.3289670655785109,21.931728837876616,6737222043.030003,100.000045358775,C,1,Normal Stock,4,14.573272658368245,102.3001880098747,"Low priority, avoid excess stock"
78,1714.71,7.296638297872341,10.400544825525142,235,37,7067.795574468085,26,1.425388569494788,7.296638297872341,6737223757.740003,100.00007081007773,C,1,Overstock Risk,4,5.200272412762571,34.38682560425193,Reduce reorder quantity
39,177.98,11.12375,9.511561298405923,16,5,8975.725,1,0.8550678771462792,11.12375,6737223935.720002,100.00007345182055,C,0,Overstock Risk,4,4.755780649202961,49.25078064920296,Reduce reorder quantity
43,14.32,1.1933333333333334,1.0277453994353882,12,5,13537.3825,1,0.8612391615380348,1.1933333333333334,6737223950.040002,100.00007366437119,C,0,Overstock Risk,4,0.5138726997176941,5.287206033051028,Reduce reorder quantity
47,-4962.93,-7.682554179566564,307.8826447422234,646,37,7789.864427244582,55,-40.07555788686851,-7.682554179566564,6737218987.110002,100.00000000000003,C,0,Overstock Risk,4,153.9413223711117,123.21110565284545,Reduce reorder quantity
